Name,Type,Location,Significance,Latitude,Longitude
Morne Fortune,Historical Site,Castries,"Military fortress from 18th century",13.9940,-60.9960
Pigeon Island National Landmark,"Historical Site; National Park",Gros Islet,"40-acre islet with ruins and British fort from 1782",14.0900,-60.9600
Derek Walcott Square,"Public Square; Historical Landmark",Castries,"Named after Nobel Laureate; surrounded by historic buildings",14.0105,-60.9870
Cathedral Basilica of the Immaculate Conception,"Religious Site; Architectural Landmark",Castries,"Largest church in the Caribbean with murals and frescoes",14.0108,-60.9872
Anse La Raye,Traditional Fishing Village,Anse La Raye,"Friday night Fish Fry and preserved fishing culture",13.9330,-61.0400
Balenbouche Estate,Historical Plantation,Choiseul,"Colonial-era sugar mill and eco-lodge",13.7770,-61.0620
